id,title,normalized_title,level,category,company,location,salary,full_time,part_time,internship,temporary,updated,collected_at
-3533268467376347079,General QA Engineer,general qa engineer,Middle,QA Manual Engineer,OBRIO,Київ,,1,0,0,0,2026-04-28,2026-05-16
-6677766694668836296,Data Analyst (Impulse),data analyst impulse,Middle,Data Analyst,Headway Inc,Київ,,1,0,0,0,2026-05-04,2026-05-16
6415795582558508471,Senior/Lead Backend Engineer — Duomo,senior lead backend engineer duomo,Senior,Backend Developer,SKELAR,Київ,,1,0,0,0,2026-04-21,2026-05-16
-937157870896544303,Business analyst,business analyst,Middle,Business Analyst,LehkoCredit,Київ,,1,0,0,0,2026-04-27,2026-05-16
8278315130129690678,Senior Backend Engineer,senior backend engineer,Senior,Backend Developer,SIXT,Київ,,1,0,0,0,2026-04-20,2026-05-16
152837165895262546,Middle Mobile AQA Engineer (iOS),middle mobile aqa engineer ios,Middle,QA Automation Engineer,OBRIO,Київ,,1,0,0,0,2026-05-04,2026-05-16
-8173719418328942934,Senior Backend Engineer,senior backend engineer,Senior,Backend Developer,Futurra Group,Київ,,1,0,0,0,2026-04-28,2026-05-16
6129910523762673721,Staff Back-end Engineer,staff back-end engineer,Middle,Backend Developer,Preply,Київ,,1,0,0,0,2026-05-07,2026-05-16
342518285718536488,Junior/Middle DevOps Engineer,junior middle devops engineer,Junior,DevOps / SRE Engineer,IdeaSoft.io,Київ,,1,0,0,0,2026-04-21,2026-05-16
4043908806815401829,IT Business Analyst,it business analyst,Middle,Business Analyst,SPRIBE,Київ,,1,0,0,0,2026-04-14,2026-05-16
-7546923499615601737,Flight Data Engineer,flight data engineer,Middle,Data Engineer,STARK Defence,Київ,,1,0,0,0,2026-04-29,2026-05-16
-8410077667954198925,Middle+/Senior Data Analyst (DWH),middle+ senior data analyst dwh,Middle,Data Analyst,SoftConstruct Ukraine,Київ,,1,0,0,0,2026-04-30,2026-05-16
-1943580062903279811,QA Engineer Radio у defence-tech компанію,qa engineer radio у defence-tech компанію,Middle,QA Manual Engineer,ITExpert - IT Recruitment agency,Київ,3 500 $,1,0,0,0,2026-04-29,2026-05-16
-3895619305158627615,Data Analyst (Impulse),data analyst impulse,Middle,Data Analyst,Genesis,Київ,,1,0,0,0,2026-05-04,2026-05-16
4612769771863781001,Бізнес Аналітик (Управління запасами),бізнес аналітик управління запасами,Middle,Business Analyst,ROZETKA,Київ,,1,0,0,0,2026-04-21,2026-05-16
6120956197384552163,Java Backend Developer,java backend developer,Middle,Backend Developer,Intellectsoft,Київ,,1,0,0,0,2026-05-12,2026-05-16
-6502297364702842492,QA Engineer,qa engineer,Middle,QA Manual Engineer,Playtech,Київ,,1,0,0,0,2026-04-17,2026-05-16
-1333812153969720828,Business Analyst,business analyst,Middle,Business Analyst,Kyivstar.Tech,Київ,,1,0,0,0,2026-04-21,2026-05-16
-5182668314036208126,System Administrator (IT Support & Infrastructure),system administrator it support infrastructure,Middle,System Administrator / Network Engineer,PLASH - media buying agency,Київ,,1,0,0,0,2026-04-17,2026-05-16
-3255110059687952018,Senior Backend Developer,senior backend developer,Senior,Backend Developer,LOGITY TECH,Київ,,1,0,0,0,2026-04-30,2026-05-16
-2787261624402705994,Middle QA Engineer,middle qa engineer,Middle,QA Manual Engineer,Brights,Київ,,1,0,0,0,2026-05-05,2026-05-16
