id,title,company,location,salary,type,source,link,snippet,updated,collected_at
-3765596375338983768,Старший інженер програміст бізнес-логіки БПЛА (Python Software Engineer),Warbirds Бойові Птахи України,Київ,,,dou.ua,https://ua.jooble.org/jdp/-3765596375338983768,7 травня 2026 deftech Старший інженер програміст бізнес-логіки БПЛА (Python Software Engineer) Київ Готові допомогти ЗСУ у знищенні ворога та залишити свій слід у світі військових БПЛА? Приєднуйтесь до нас у «Warbirds of Ukraine» і станьте частиною міжнародно...,2026-05-07,2026-05-18
3996461305269685778,UI/UX Designer,"Азов, 12-та бригада спеціального призначення НГУ",Київ,600 - 2 800 $,,dou.ua,https://ua.jooble.org/jdp/3996461305269685778,"30 квітня 2026 сили оборони UI/UX Designer Київ 12-та бригада спеціального призначення «Азов» — військове формування, що входить до складу 1-го корпусу Національної гвардії України «Азов». Підрозділ збирає команду вмотивованих спеціалістів, які готові бути...",2026-04-30,2026-05-18
-2512714708752162667,Freelance Senior Data Analyst,Valtech,Київ,,Повний робочий день,nofluffjobs.com,https://ua.jooble.org/jdp/-2512714708752162667,"...committed to inclusion and accessibility. If you need reasonable accommodations during the interview process, please either indicate it in your application or let your Talent Partner know. About Valtech Valtech is the experience innovation company that exists to unlock...",2026-04-29,2026-05-18
4093717061189097183,System Engineer Navigation,Quantum- Systems GmbH,Київ,,Повний робочий день,recruitee.com,https://ua.jooble.org/jdp/4093717061189097183,"The role is based in the Kyiv region, and we will expect you to work full-time in the office. We have a shuttle service from the nearest metro station. About the Job We are seeking a talented System Engineer Navigation to join our team and drive the next generation...",2026-04-27,2026-05-18
6084270573494707640,Senior .NET Engineer (3113),Ciklum,Київ,,,dou.ua,https://ua.jooble.org/jdp/6084270573494707640,"...application deployment patterns and tools Practical experience in infrastructure configuration using popular cloud providers What’s in it for you? Strong community: Work alongside top professionals in a friendly, open-door environment Growth focus: Take on large-...",2026-05-16,2026-05-18
-3895449767839380383,Expert JavaScript Engineer (2786),Ciklum,Київ,,,dou.ua,https://ua.jooble.org/jdp/-3895449767839380383,"...with shared standards Preferred if they have experience with: Vite, Playwright, and AI programming tools like Cursor What’s in it for you? Strong community: Work alongside top professionals in a friendly, open-door environment Growth focus: Take on large-scale...",2026-04-23,2026-05-18
-5444177876251540093,Senior Java Engineer with Python skills (#5039),N-iX,Київ,,,dou.ua,https://ua.jooble.org/jdp/-5444177876251540093,"6 травня 2026 Senior Java Engineer with Python skills (#5039) Київ, Львів, Дніпро, Вінниця, Івано-Франківськ, Тернопіль, віддалено We are looking for a highly skilled Senior Java Engineer with additional experience in Python to join our team. The primary...",2026-05-06,2026-05-18
-9191886062887581252,Middle Azure DevOps (#5067),N-iX,Київ,,,dou.ua,https://ua.jooble.org/jdp/-9191886062887581252,"6 травня 2026 Middle Azure DevOps (#5067) Київ, Львів, Дніпро, Вінниця, Івано-Франківськ, Тернопіль, віддалено N-iX is looking for a Middle Azure DevOps for one of our clients. The Middle Devops role focuses on the design, implementation, and maintenance...",2026-05-06,2026-05-18
306804274134296157,Automation QA Engineer,Ubiquiti Inc,Київ,,,dou.ua,https://ua.jooble.org/jdp/306804274134296157,"27 квітня 2026 Automation QA Engineer Київ Необхідні навички 3+ years of software testing experience; 1+ year QA Automation(backend) using Python, 1 year of manual testing experience; Strong L2/L3 networking expertise; Strong knowledge of software...",2026-04-27,2026-05-18
-7326703076782464841,Оператор технічної підтримки L1/L2 (Active Directory) в ЗСУ,Війська зв'язку та Кібербезпеки ЗСУ,Київ,,,dou.ua,https://ua.jooble.org/jdp/-7326703076782464841,"18 травня 2026 сили оборони Оператор технічної підтримки L1/L2 (Active Directory) в ЗСУ Київ Можна просто сидіти вдома й скролити новини. А можна — працювати на перемогу, допомагаючи ЗСУ щодня своїм голосом, терпінням і людяністю. Ми шукаємо оператора гарячо...",2026-05-18,2026-05-18
